+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
| 315 |   1206  |     1397     |     12    | 9  | 39 |   2   |
| 316 |   1263  |     1399     |     12    | 13 | 39 |   1   |
| 317 |   1255  |     1347     |     12    | 11 | 33 |   23  |
| 318 |   1614  |     1292     |     12    | 37 | 25 |   13  |
| 319 |   1166  |     1464     |     12    | 6  | 0  |   27  |
| 320 |   1382  |     1335     |     12    | 21 | 31 |   7   |
| 321 |   1323  |     1350     |     12    | 17 | 33 |   1   |
| 322 |   1648  |     1293     |     12    | 39 | 25 |   11  |
| 323 |   1564  |     1526     |     12    | 34 | 16 |   11  |
| 324 |   1140  |     1076     |     12    | 33 | 1  |   9   |
| 325 |   1161  |     1461     |     12    | 12 | 0  |   8   |
| 326 |   1423  |     1319     |     12    | 23 | 29 |   14  |
| 327 |   1363  |     1283     |     12    | 19 | 25 |   44  |
| 328 |   1308  |     1298     |     12    | 15 | 27 |   12  |
| 329 |   1156  |     1084     |     12    | 17 | 1  |   29  |
| 330 |   1654  |     1361     |     12    | 39 | 33 |   8   |
| 331 |   1656  |     1395     |     12    | 39 | 37 |   20  |
| 332 |   1577  |     1481     |     12    | 36 | 6  |   48  |
| 333 |   1361  |     1549     |     12    | 20 | 22 |   12  |
| 334 |   1185  |     1537     |     12    | 6  | 20 |   11  |
| 335 |   1219  |     1538     |     12    | 10 | 20 |   11  |
| 336 |   1443  |     1286     |     12    | 25 | 25 |   31  |
| 337 |   1144  |     1078     |     12    | 29 | 1  |   5   |
| 338 |   1155  |     1458     |     12    | 18 | 0  |   9   |
| 339 |   1440  |     1320     |     12    | 25 | 29 |   19  |
| 340 |   1244  |     1529     |     12    | 12 | 18 |   4   |
| 341 |   1162  |     1087     |     12    | 11 | 1  |   10  |
| 342 |   1200  |     1379     |     12    | 7  | 37 |   21  |
| 343 |   1480  |     1321     |     12    | 27 | 29 |   5   |
| 344 |   1516  |     1471     |     12    | 30 | 4  |   17  |
| 345 |   1187  |     1546     |     12    | 8  | 22 |   12  |
| 346 |   1216  |     1556     |     12    | 10 | 24 |   8   |
| 347 |   1147  |     1454     |     12    | 26 | 0  |   8   |
| 348 |   1630  |     1473     |     12    | 38 | 4  |   6   |
| 349 |   1134  |     1073     |     12    | 39 | 1  |   11  |
| 350 |   1613  |     1309     |     12    | 37 | 27 |   13  |
| 351 |   1650  |     1310     |     12    | 39 | 27 |   3   |
| 352 |   1651  |     1327     |     12    | 39 | 29 |   6   |
| 353 |   1652  |     1590     |     12    | 40 | 30 |   1   |
| 354 |   1336  |     1522     |     12    | 18 | 16 |   14  |
| 355 |   1472  |     1533     |     12    | 28 | 18 |   33  |
| 356 |   1366  |     1317     |     12    | 19 | 29 |   6   |
| 357 |   1450  |     1524     |     12    | 26 | 16 |   13  |
| 358 |   1231  |     1466     |     12    | 10 | 4  |   15  |
| 359 |   1532  |     1552     |     12    | 32 | 22 |   4   |
| 360 |   1556  |     1307     |     12    | 33 | 27 |   11  |
| 361 |   1256  |     1364     |     12    | 11 | 35 |   2   |
| 362 |   1212  |     1312     |     12    | 9  | 29 |   8   |
